Id,BC,CC,DC
0,0.0,0.0,0.0
1,0.045605922,0.359756097,0.218309859
2,0.015350356999999999,0.914634146,0.140845071
3,0.561057315,0.103658536,0.746478873
4,1.0987979479999999,1.1402439020000001,1.471830986
5,0.060641647,0.890243902,0.16901408499999998
6,0.216607698,1.0914634140000001,0.6549295780000001
7,0.047090787,0.384146341,0.218309859
8,0.020062715,0.408536585,0.133802817
9,0.275261337,2.012195122,0.9577464790000001
10,0.561057315,0.103658536,0.746478873
11,1.0,0.0,1.0
12,0.00402635,0.475609756,0.028169014
13,0.070672189,0.353658536,0.232394366
14,0.004162526,0.506097561,0.063380282
15,0.079751864,1.8292682919999999,0.485915493
16,0.024830097,0.451219512,0.091549296
17,0.09064883100000001,0.823170732,0.422535211
18,0.63663005,0.41463414600000004,1.028169014
19,0.019519748,0.481707317,0.056338028
20,0.18935322400000001,0.707317073,0.591549296
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.617536436,0.48780487699999997,0.8521126760000001
24,0.571555136,0.609756097,0.8521126760000001
25,0.606181514,0.46951219499999997,1.014084507
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,0.0,0.0,0.0
29,0.561057315,0.103658536,0.746478873
30,0.0,0.0,0.0
31,0.226337231,1.085365854,0.8239436619999999
32,0.096480554,1.329268292,0.464788733
33,0.042175623,0.341463414,0.070422535
34,0.0,0.0,0.0
35,0.593022772,1.475609755,1.035211267
36,0.0,0.0,0.0
37,0.13592804,0.9329268289999999,0.422535212
38,1.01338775,0.402439024,1.126760563
39,0.561057315,0.103658536,0.746478873
40,0.145954727,1.182926829,0.584507043
41,0.0,0.0,0.0
42,0.300601447,0.524390244,0.845070423
43,0.561057315,0.103658536,0.746478873
44,0.0,0.0,0.0
45,0.164913047,0.262195122,0.443661972
46,0.0,0.0,0.0
47,0.577455328,0.975609755,0.8943661970000001
48,0.561057315,0.103658536,0.746478873
49,0.0,0.0,0.0
50,0.639726248,1.378048779,1.0845070430000001
51,0.0,0.0,0.0
52,0.561057315,0.103658536,0.746478873
53,0.0,0.0,0.0
54,0.007039798,0.567073171,0.063380282
55,0.561057315,0.103658536,0.746478873
56,0.06515995,1.426829268,0.190140846
57,0.104567704,0.7804878040000001,0.31690140899999997
58,0.00829632,0.414634146,0.091549296
59,0.0,0.0,0.0
60,0.561057315,0.103658536,0.746478873
61,0.0,0.0,0.0
62,0.0,0.0,0.0
63,0.00329015,0.932926829,0.021126761
64,0.016074114,0.9146341459999999,0.169014084
65,0.561057315,0.103658536,0.746478873
66,0.0,0.0,0.0
67,0.070814975,0.335365853,0.281690141
68,0.0,0.0,0.0
69,0.0,0.0,0.0
70,0.561057315,0.103658536,0.746478873
71,1.0,0.0,1.0
72,0.0,0.0,0.0
73,1.098089813,1.847560976,1.4436619720000001
74,0.070672189,0.353658536,0.232394366
75,0.597289108,1.00609756,0.936619718
76,0.014060379,0.5,0.098591549
77,0.094675181,1.298780488,0.45070422499999996
78,0.5839764620000001,1.158536584,0.9647887330000001
79,1.139427405,0.878048781,1.450704226
80,0.00444283,0.420731707,0.084507042
81,1.0,0.0,1.0
82,0.022619117,0.518292683,0.084507042
83,0.125842852,1.243902438,0.47887324000000003
84,0.0,0.0,0.0
85,1.032474779,0.951219512,1.197183099
86,0.0,0.0,0.0
87,0.076541836,0.792682926,0.23943662
88,0.0,0.0,0.0
89,0.0,0.0,0.0
90,0.018027286,0.384146341,0.169014085
91,0.018027286,0.384146341,0.169014085
92,0.0,0.0,0.0
93,0.070814975,0.335365853,0.281690141
94,0.045605922,0.359756097,0.218309859
95,0.0,0.0,0.0
96,1.0,0.0,1.0
97,1.0,0.0,1.0
98,0.0,0.0,0.0
99,0.569979314,0.548780487,0.823943662
100,0.143883982,0.7378048779999999,0.507042254
101,0.024825012,0.37195122,0.176056338
102,0.070220102,0.323170732,0.288732394
103,0.020197761,1.1585365859999999,0.09859155
104,0.0,0.0,0.0
105,0.561057315,0.103658536,0.746478873
106,1.020062715,0.408536585,1.133802817
107,0.060641647,0.890243902,0.16901408499999998
108,0.031249377,0.402439024,0.161971831
109,1.0078195710000002,1.012195122,1.112676057
110,0.020062715,0.408536585,0.133802817
111,0.1356884,0.262195122,0.401408451
112,0.0036283,0.475609756,0.063380282
113,0.0,0.0,0.0
114,1.0,0.0,1.0
115,0.0,0.0,0.0
116,0.0,0.0,0.0
117,0.616185696,1.06707317,1.021126761
118,1.0,0.0,1.0
119,0.164913047,0.262195122,0.443661972
120,0.067743316,0.884146342,0.35211267599999996
121,1.0,0.0,1.0
122,0.043047846,1.0182926829999999,0.218309859
123,0.164913047,0.262195122,0.443661972
124,0.0,0.0,0.0
125,0.0,0.0,0.0
126,0.129039487,1.262195121,0.37323943699999995
127,0.073425,0.743902438,0.23239436600000002
128,0.011482168,0.451219512,0.105633803
129,0.045385119,0.975609756,0.15492957699999998
130,0.0,0.0,0.0
131,0.1356884,0.262195122,0.401408451
132,0.003737804,0.585365853,0.035211268
133,0.0,0.0,0.0
134,1.056479121,0.384146341,1.105633803
135,0.01975181,1.054878049,0.084507042
136,1.164913047,0.262195122,1.4436619720000001
137,1.0,0.0,1.0
138,0.060641647,0.890243902,0.16901408499999998
139,1.147694492,0.792682927,1.464788733
140,0.019519748,0.481707317,0.056338028
141,0.665632618,3.4085365850000002,1.147887324
142,0.144017722,0.6890243899999999,0.450704226
143,0.0,0.0,0.0
144,1.010292439,0.5,1.056338028
145,0.696745715,0.365853658,1.147887324
146,0.0,0.0,0.0
147,1.0,0.0,1.0
148,0.072513776,2.225609756,0.281690142
149,0.005532171,0.506097561,0.056338028
150,0.651706146,0.926829268,1.169014084
151,0.164913047,0.262195122,0.443661972
152,0.135609715,1.1951219499999999,0.436619718
153,0.0,0.0,0.0
154,0.075572735,0.31097561,0.281690141
155,0.750795374,0.737804878,1.3661971830000001
156,0.0,0.0,0.0
157,0.019070856,0.457317073,0.084507042
158,0.063325288,1.304878048,0.436619718
159,0.0,0.0,0.0
160,0.021568882999999997,0.945121951,0.197183099
161,0.0,0.0,0.0
162,0.045124199,0.365853659,0.267605634
163,0.5888023870000001,1.054878048,0.901408451
164,0.0,0.0,0.0
165,0.01338775,0.402439024,0.126760563
166,1.0,0.0,1.0
167,0.561057315,0.103658536,0.746478873
168,0.018027286,0.384146341,0.169014085
169,0.019519748,0.481707317,0.056338028
170,0.056479121,0.384146341,0.105633803
171,0.060641647,0.890243902,0.16901408499999998
172,0.043047846,1.0182926829999999,0.218309859
173,1.0,0.0,1.0
174,0.014725435,0.896341463,0.218309859
175,0.056479121,0.384146341,0.105633803
176,0.180812599,0.628048781,0.6690140849999999
177,1.141487164,0.6890243890000001,1.5140845070000002
178,0.014060379,0.5,0.098591549
179,0.561057315,0.103658536,0.746478873
180,0.0,0.0,0.0
181,0.0,0.0,0.0
182,0.064808443,0.810975609,0.154929578
183,1.0,0.0,1.0
184,0.0,0.0,0.0
185,0.0,0.0,0.0
186,0.0,0.0,0.0
187,1.024825012,0.37195122,1.176056338
188,0.0,0.0,0.0
189,0.024830097,0.451219512,0.091549296
190,0.0,0.0,0.0
191,0.0,0.0,0.0
192,0.092031491,0.853658537,0.330985916
193,0.834408311,1.542682926,1.697183098
194,1.0,0.0,1.0
195,0.561057315,0.103658536,0.746478873
196,0.24044802899999998,1.920731707,0.873239437
197,0.070220102,0.323170732,0.288732394
198,0.223935788,0.969512195,0.85915493
199,1.1141210549999998,1.2317073170000001,1.464788732
200,0.09591734,0.75,0.415492957
201,0.004124983,0.445121951,0.070422535
202,0.6037420050000001,1.579268292,1.084507042
203,0.009421311,0.670731707,0.042253521
204,0.011482168,0.451219512,0.105633803
205,1.070672189,0.353658536,1.232394366
206,0.071295486,0.823170732,0.323943662
207,0.01572546,0.579268293,0.056338028
208,0.002914975,0.5,0.063380282
209,0.5902062849999999,1.042682926,0.943661971
210,0.001636529,0.963414634,0.0
211,0.6765766310000001,2.140243902,1.246478872
212,0.561057315,0.103658536,0.746478873
213,0.561057315,0.103658536,0.746478873
214,0.592306692,0.50609756,0.908450704
215,0.037454502,1.8353658529999999,0.24647887400000001
216,0.0,0.0,0.0
217,0.064808443,0.810975609,0.154929578
218,0.561057315,0.103658536,0.746478873
219,0.022619117,0.518292683,0.084507042
220,0.070220102,0.323170732,0.288732394
221,0.0,0.0,0.0
222,1.007039798,0.567073171,1.063380282
223,1.006878277,0.518292683,1.042253521
224,1.056479121,0.384146341,1.105633803
225,1.0,0.0,1.0
226,1.0,0.0,1.0
227,0.0,0.0,0.0
228,0.725970362,0.365853658,1.1901408450000002
229,0.045124199,0.365853659,0.267605634
230,0.047090787,0.384146341,0.218309859
231,0.047090787,0.384146341,0.218309859
232,0.164913047,0.262195122,0.443661972
233,0.561057315,0.103658536,0.746478873
234,0.01338775,0.402439024,0.126760563
235,0.0,0.0,0.0
236,0.0,0.0,0.0
237,0.027367176,0.871951219,0.176056338
238,1.0,0.0,1.0
239,0.0582803,0.908536585,0.323943662
240,0.058175298,0.890243902,0.302816902
241,0.0,0.0,0.0
242,0.030926549999999997,1.006097561,0.23943662
243,0.020428729,0.5,0.133802817
244,0.057430417,2.097560976,0.3873239439999999
245,0.029350728,0.945121951,0.211267606
246,0.045258826,0.951219512,0.225352113
247,0.012265089,0.5,0.056338028
248,0.0,0.0,0.0
249,0.0,0.0,0.0
250,0.0,0.0,0.0
251,0.561057315,0.103658536,0.746478873
252,0.092985713,1.2256097559999999,0.373239437
253,0.561057315,0.103658536,0.746478873
254,0.047090787,0.384146341,0.218309859
255,0.070672189,0.353658536,0.232394366
256,0.008507866,0.451219512,0.105633803
257,0.238872154,1.2012195129999998,0.7816901410000001
258,0.629437826,0.426829268,1.007042253
259,0.045605922,0.359756097,0.218309859
260,0.561057315,0.103658536,0.746478873
261,0.561057315,0.103658536,0.746478873
262,0.561057315,0.103658536,0.746478873
263,0.561057315,0.103658536,0.746478873
264,0.561057315,0.103658536,0.746478873
265,0.0,0.0,0.0
266,1.1356884,0.262195122,1.401408451
267,0.00329015,0.932926829,0.021126761
268,0.008544075,0.963414634,0.126760563
269,0.024440177,0.445121951,0.147887324
270,1.0,0.0,1.0
271,1.01168158,0.469512195,1.091549296
272,1.0,0.0,1.0
273,1.0,0.0,1.0
274,1.014060379,0.5,1.098591549
275,1.0,0.0,1.0
276,0.031249377,0.402439024,0.161971831
277,0.0,0.0,0.0
278,0.070672189,0.353658536,0.232394366
279,0.0,0.0,0.0
280,0.19633004699999998,1.152439024,0.570422536
281,1.164067045,1.579268292,1.76056338
282,0.045605922,0.359756097,0.218309859
283,0.067212577,0.835365853,0.253521127
284,0.048141721,0.37804878,0.169014085
285,0.0,0.0,0.0
286,0.1356884,0.262195122,0.401408451
287,0.0,0.0,0.0
288,0.008250439,0.524390244,0.063380282
289,0.01244793,2.3963414629999997,0.07746479
290,1.561057315,0.103658536,1.746478873
291,0.561057315,0.103658536,0.746478873
292,0.020428729,0.5,0.133802817
293,0.008195582,0.475609756,0.105633803
294,0.0,0.0,0.0
295,1.042198322,1.341463414,1.330985915
296,1.018027286,0.384146341,1.169014085
297,0.0,0.0,0.0
298,0.0,0.0,0.0
299,0.045605922,0.359756097,0.218309859
